ABF updated museum database as of 3.6.2020 If you need to make additional changes please contact me with specifics										
RLB batch catalog #	Box, grid, level	preparation at LBTP	Number 	Identification	how many 	type of material (seed, leaf, etc)	Notes/refinements	New Museum catalog # to be used	References	Notes
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-728	Bone	1	bone		not being cataloged	Bone	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-729	Juniperus sp. 	180	seed		LACMP23-39716	Santa Ana Botanic Garden	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-730	Juniperus californica 	34	seed		LACMP23-39717	Jesse	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-731	Juniperus californica 	30	twig	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39718	Calscape	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-732	Platanus racemosa 	8	seed		LACMP23-39719	seed samples, Santa Ana Botanic Garden	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-733	Solidago canadensis 	3	seed		LACMP23-39720	(http://www.mirofoss.com/Organics/Plant_Elongated/Elongated_Articles/CanadaGoldenrod.html)	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-734	Xanthium strumarium 	2	seed		LACMP23-39721	USDA 	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-735	Juniperus californica 	4	buds	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39722	(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-736	Quercus chrysolepis	2	bud	Same as JG-255	LACMP23-39723	(https://www.flickr.com/photos/treebeard/32337119826)	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-737	Eschscholzia californica	3	seed		LACMP23-39724	Seed samples	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-738	Dichondra occidentalis 	2	seed		LACMP23-39725	Seed samples, Calflora 	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-739	Cornus sericea 	1	seed		LACMP23-39726	seed samples	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-740	Potamogeton alpinus 	71	seed	line around margin, shape, size 	LACMP23-39727	seed samples	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-741	Galium trifidum	6	seed		LACMP23-39728	seed samples 	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-742	Stachys albens	1	seed	shape, line	LACMP23-39729	seed samples, Santa Ana Botanic Garden	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-743	Scat	1	scat 		not being cataloged	scat 	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-744	Rhus aromatica	1	seed		LACMP23-39730	Seed samples, Santa Ana Botanic Garden	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-745	Amaranthus powellii 	1	seed		LACMP23-39731	seed samples, calflora 	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-746	Persicaria lapathifolia	2	seed	Previously identified as Cyperaceae (7/10/19)	LACMP23-39732	seed samples	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-747	Sisyrinchium bellum 	1	seed		LACMP23-39733	Seed samples 	
P23 38313	Box 7B grid A-2 level 1 	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-748	Adenostoma fasciculatum	1	seed		LACMP23-39734	Santa Ana Botanic Garden	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-749	Juniperus californica 	735	seed		LACMP23-39735	Jesse	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-750	Juniperus sp. 	101	seed		LACMP23-39736	Santa Ana Botanic Garden	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-751	Platanus racemosa 	11	seed		LACMP23-39737	Santa Ana Botanic Garden	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-752	Juniperus californica 	2	twig	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39738	Calscape	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-753	Xanthium strumarium 	0.5	seed		LACMP23-39739	USDA 	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-754	Solidago canadensis 	3	seed		LACMP23-39740	seed samples	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-755	Ambrosia psilostachya 	0.5	seed	short dull horn at top of seed surrounded by shorter bumps	LACMP23-39741	(https://www.invasive.org/browse/detail.cfm?imgnum=5455869)	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-756	Persicaria lapathifolia	17	seed	Previously identified as Cyperaceae (7/10/19)	LACMP23-39742	seed samples	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-757	Purshia tridentata	8	seed		LACMP23-39743	Santa Ana Botanic Garden	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-758	Pinus radiata	1	seed	Same as JG-18	LACMP23-39744	seed samples	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-759	Juniperus californica 	1	bud	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39745	 (http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-760	Hesperocyparis macrocarpa	1	seed		LACMP23-39746	Calflora, Calscape 	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-761	Juniperus californica 	1	fruit 	Calscape 	LACMP23-39747	Calscape 	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-762	Berberis aquifolium	1	seed		LACMP23-39748	Calflora, seed samples	
P23 38314	Box 7B grid A-2 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-763	Rosa californica 	1	seed		LACMP23-39749	seed samples, Santa Ana Botanic Garden	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-764	Juniperus californica 	260	seed		LACMP23-39750	Jesse	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-765	Arctostaphylos viscida	0.5	seed	Previously identified as Arctostaphylos pungens (7/10/19)	LACMP23-39751	Seed samples, Santa Ana Botanic Garden	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-766	Juniperus sp. 	105	seed		LACMP23-39752	Santa Ana Botanic Garden	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-767	Solidago canadensis 	3	seed		LACMP23-39753	Seed samples	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-768	Xanthium strumarium 	2	seed		LACMP23-39754	Seed samples	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-769	Juniperus californica 	3	twig	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39755	Calflora	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-770	Potamogeton alpinus 	118	seed	line around margin, shape, size 	LACMP23-39756	Seed samples 	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-771	Platanus racemosa 	28	seed		LACMP23-39757	Seed samples, Santa Ana Botanic Garden	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-772	Alopecurus aequalis	2	glume 		LACMP23-39758	Bekker pg. 196	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-773	Berberis aquifolium	1	seed	Previously identified as Berberis hamatocarpa (7/10/19)	LACMP23-39759	Calflora, seed samples	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-774	Cyperaceae	58	seed		LACMP23-39760	Seed samples 	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-775	Purshia tridentata	10	seed		LACMP23-39761	Santa Ana Botanic Garden	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-776	Juniperus californica 	1	bud	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39762	(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-777	Hesperocyparis macrocarpa	39	seed		LACMP23-39763	Callfora, Calscape	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-778	Hesperocyparis macrocarpa	3	cone fragments 		LACMP23-39764	Callfora, Calscape	
P23 38315	Box 7B grid A-2 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-779	Turtle scute	3	Turtle scute 		not being cataloged	Turtle Scute	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-780	Juniperus californica 	28	seed		LACMP23-39765	Jesse	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-781	Dichondra occidentalis 	12	seed		LACMP23-39766	seed samples, Calflora	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-782	Platanus racemosa 	1	seed		LACMP23-39767	Seed samples, Santa Ana Botanic Garden	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-783	Juniperus sp. 	89	seed		LACMP23-39768	Santa Ana Botanic Garden	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-784	Juniperus californica 	12	twig	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39769	Calflora 	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-785	Quercus chrysolepis	2	immature acorn caps		LACMP23-39770	(https://www.flickr.com/photos/treebeard/32337119826)	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-786	Xanthium strumarium 	1	seed		LACMP23-39771	Seed samples	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-787	Alopecurus aequalis	3	glume 		LACMP23-39772	Bekker pg. 196	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-788	Juniperus californica 	1	bud	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39773	(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-789	Solidago canadensis 	1	seed		LACMP23-39774	Seed samples	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-790	Angelica kingii 	3	seed		LACMP23-39775	Seed samples, Calflora 	
P23 38316	Box 7B grid A-2 level 4	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-791	Cornus sericea 	1	seed		LACMP23-39776	Seed samples	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-792	Juniperus californica 	23	seed		LACMP23-39777	Jesse	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-793	Rumex salicifolius 	1	seed	Same as JG-139	LACMP23-39778	Seed sample	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-794	Dichondra occidentalis 	1	seed		LACMP23-39779	Seed samples, Calflora 	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-795	Cyperaceae	1	seed		LACMP23-39780	Seed samples	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-796	Juniperus sp. 	10	seed		LACMP23-39781	Santa Ana Botanic Garden	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-797	Platanus racemosa 	7	seed		LACMP23-39782	Seed samples, Santa Ana Botanic Garden	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-798	Juniperus californica 	1	bud	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39783	(http://tcf.bh.cornell.edu/imgs/dws/r/Cupressaceae_Juniperus_californica_18388.html)	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-799	Solidago canadensis 	2	seed		LACMP23-39784	Seed samples	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-800	Potamogeton alpinus 	4	seed		LACMP23-39785	Seed samples	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-801	Juniperus californica 	1	twig	Previously identified as Juniperus sp. (7/10/19)	LACMP23-39786	Calflora	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-802	Hesperocyparis macrocarpa	1	seed		LACMP23-39787	Calflora, Calscape 	
P23 38317	Box 7B grid A-3 level 2	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-803	Angelica kingii 	1	seed		LACMP23-39788	Seed samples, Calflora 	
P23 38318	Box 7B grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-804	Juniperus californica 	35	seed		LACMP23-39789	Jesse	
P23 38318	Box 7B grid A-3 level 3	Bulk matrix processed in heated Biodiesel B 100 (80 C) and cold soaked in GenTech (n-propyl bromide)	JG-805	Bone	1	bone		not being cataloged	Bone	
