UCIAMS_Number,Species,Taxon,del15N_permil,del13C_permil,14C_age_BP
216772,O. beecheyi,Otospermophilus,3.8,-20.7,2375
223494,Sylvilagus sp,Sylvilagus,6.2,-18.8,2650
223493,O. beecheyi,Otospermophilus,9.9,-18.5,5166
216760,S. audubonii,Sylvilagus,3.6,-20.8,5925
223528,O. beecheyi,Otospermophilus,4.4,-18.6,6155
216761,O. beecheyi,Otospermophilus,5.9,-21.1,11105
216766,S. audubonii,Sylvilagus,7.6,-22,13990
216767,S. bachmani,Sylvilagus,4.9,-21.9,14390
223513,Sylvilagus sp,Sylvilagus,7.2,-21.3,25830
198298,O. beecheyi,Otospermophilus,7,-20.9,26310
223516,Sylvilagus sp,Sylvilagus,7.9,-20.9,26780
223521,O. beecheyi,Otospermophilus,6.4,-20.3,26940
223524,Sylvilagus sp,Sylvilagus,7.2,-20.9,28090
223529,O. beecheyi,Otospermophilus,9.4,-19.3,28370
217078,S. bachmani,Sylvilagus,8.2,-22.3,28500
216765,S. audubonii,Sylvilagus,8.4,-21.3,28600
216771,S. audubonii,Sylvilagus,6.9,-22.5,30320
223526,Sylvilagus sp,Sylvilagus,8.1,-21.2,30540
198302,O. beecheyi,Otospermophilus,6.7,-20.2,30870
216780,O. beecheyi,Otospermophilus,4.5,-21.4,30900
216781,O. beecheyi,Otospermophilus,6.6,-21.5,30970
216779,O. beecheyi,Otospermophilus,5.3,-20.7,31000
223507,Sylvilagus sp,Sylvilagus,6.4,-22.2,31230
216773,O. beecheyi,Otospermophilus,6.3,-20.4,31340
223525,Sylvilagus sp,Sylvilagus,8.6,-21.1,31460
198207,O. beecheyi,Otospermophilus,8.5,-20.9,31830
223508,S. audubonii,Sylvilagus,9.4,-21.1,31980
198201,O. beecheyi,Otospermophilus,7.6,-20.4,32500
223509,O. beecheyi,Otospermophilus,6.2,-21.2,32660
198295,O. beecheyi,Otospermophilus,8.8,-20.8,33070
198203,O. beecheyi,Otospermophilus,4,-21,33100
223505,S. audubonii,Sylvilagus,7.3,-21.9,33260
223499,Sylvilagus sp,Sylvilagus,4.2,-21.5,33590
191099,S. audubonii,Sylvilagus,9.1,-21.1,33830
223498,O. beecheyi,Otospermophilus,8.7,-21.2,34800
191097,S. bachmani,Sylvilagus,6.7,-22.4,35150
223500,O. beecheyi,Otospermophilus,3.7,-21,35230
223501,O. beecheyi,Otospermophilus,3.9,-21.2,35270
191102,S. audubonii,Sylvilagus,7.3,-21.3,35420
191096,S. bachmani,Sylvilagus,4.5,-22.5,35440
216770,S. bachmani,Sylvilagus,6.9,-22.1,35740
191095,S. audubonii,Sylvilagus,8.4,-21.3,35750
191100,S. audubonii,Sylvilagus,7.3,-21.5,35780
223527,Sylvilagus sp,Sylvilagus,4.5,-21.3,35870
198202,O. beecheyi,Otospermophilus,4.4,-21.4,35900
191098,S. audubonii,Sylvilagus,7.4,-21.4,36050
198204,O. beecheyi,Otospermophilus,3.8,-21.1,36160
223506,Sylvilagus sp,Sylvilagus,8.2,-21.2,36260
216764,S. audubonii,Sylvilagus,6.9,-21,36350
198205,O. beecheyi,Otospermophilus,7,-20.7,36580
223517,Sylvilagus sp,Sylvilagus,7.2,-21.4,36870
216763,S. audubonii,Sylvilagus,7.6,-21.4,36880
223495,Sylvilagus sp,Sylvilagus,5.6,-21.5,38740
223497,Sylvilagus sp,Sylvilagus,7,-22,39240
198294,S. bachmani,Sylvilagus,5.5,-20.9,39700
223496,O. beecheyi,Otospermophilus,6.2,-20.9,40640
216768,S. audubonii,Sylvilagus,7.8,-21.8,41000
216784,Sylvilagus sp,Sylvilagus,5.6,-21.7,41500
216783,Leporidae,Sylvilagus,4.9,-21.6,42600
216769,S. audubonii,Sylvilagus,5.2,-21.3,42900
216762,O. beecheyi,Otospermophilus,4.5,-21.2,43700
223502,Sylvilagus sp,Sylvilagus,7.2,-21.4,44000
191101,S. audubonii,Sylvilagus,8.1,-20.5,46200
217079,Sylvilagus sp,Sylvilagus,6.6,-21.4,46200
223503,Sylvilagus sp,Sylvilagus,5.7,-21.4,46200
198296,O. beecheyi,Otospermophilus,3.2,-19.3,47400
223504,O. beecheyi,Otospermophilus,6.8,-20.1,47400
223518,Sylvilagus sp,Sylvilagus,6.9,-21.7,49800
216785,Sylvilagus sp,Sylvilagus ,5.3,-22.1,50200