UCIAMS_Number,Species,Taxon,X14C_age_BP,median_age,time_group,d13C,d15N
Y2450,Bison antiquus,Bison (n = 20),,,Pleistocene,-19.4,7.7
Y2427,Bison antiquus,Bison (n = 20),,,Pleistocene,-19.8,8.4
Y5507,Bison antiquus,Bison (n = 20),,,Pleistocene,-19.4,7.6
Y2260,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.4,8.1
Y2235,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.7,8.8
Y2313,Bison antiquus,Bison (n = 20),,,Pleistocene,-19.9,9
Y5486,Bison antiquus,Bison (n = 20),,,Pleistocene,-20,8.7
HC23969,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.9,8.2
Y5484,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.6,9.6
HC23970,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.6,10
HC23974,Bison antiquus,Bison (n = 20),,,Pleistocene,-21.2,11
Y2421,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.4,8.4
Y2432,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.4,9.7
HC36190,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.8,11.2
HC33276,Bison antiquus,Bison (n = 20),,,Pleistocene,-19.8,9.2
HC46647,Bison antiquus,Bison (n = 20),,,Pleistocene,-20,9.1
HC36876,Bison antiquus,Bison (n = 20),,,Pleistocene,-19.1,9.9
P23-22780 ,Bison antiquus,Bison (n = 20),,,Pleistocene,-19.2,10.72
P23-2798,Bison antiquus,Bison (n = 20),,,Pleistocene,-20,7.9
P23-16259  ,Bison antiquus,Bison (n = 20),,,Pleistocene,-20.1,9.8
Z1389,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.4,8.3
Z1117,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-19.6,7.5
Z1276,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.3,9.7
Z1273,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.7,9
Z1268,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-21,9.9
Z1279,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.4,8.8
Z1281,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.6,9
none,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.4,8.9
none,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.5,9.8
none,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.6,8.8
none,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.8,8.4
none,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-20.5,8.7
P23-2079,Camelops hesternus,Camelops (n = 13),,,Pleistocene,-19.6,8.2
Z4629,Equus occidentalis,Equus (n = 23),,,Pleistocene,-20.8,4.9
Z4628,Equus occidentalis,Equus (n = 23),,,Pleistocene,-20.8,6.9
Z4642,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21.2,6.3
Z4561,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21.2,8
Z4719,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21.6,6.5
Z4800,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21.2,6.8
Z4591,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21.1,6.7
Z4599,Equus occidentalis,Equus (n = 23),,,Pleistocene,-20.7,6.2
Z4602,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21.7,6.8
Z4612,Equus occidentalis,Equus (n = 23),,,Pleistocene,-22,4.4
Z4620,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21.2,6.1
Z4639,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21.7,6.3
Z4636,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21.6,4.7
Z4649,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21.2,7.6
Z4625,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21.6,8.2
R37133,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21.2,5.8
R32957,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21,6.4
R28217,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21,4
R28300,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21.4,4.3
P23 22781 ,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21.2,4.84
P23 6549,Equus occidentalis,Equus (n = 23),,,Pleistocene,-20.8,9.8
P23-4144,Equus occidentalis,Equus (n = 23),,,Pleistocene,-21,6.3
P23-4144 ,Equus occidentalis,Equus (n = 23),,,Pleistocene,-20.7,6.7
Z1078,Mammut americanum,Mammut (n = 7),,,Pleistocene,-20,5.1
HC60247,Mammut americanum,Mammut (n = 7),,,Pleistocene,-20,4.4
HC60227,Mammut americanum,Mammut (n = 7),,,Pleistocene,-19.9,4.4
HC85229,Mammut americanum,Mammut (n = 7),,,Pleistocene,-20.5,4.2
HC85217,Mammut americanum,Mammut (n = 7),,,Pleistocene,-20.5,4.2
HC85216,Mammut americanum,Mammut (n = 7),,,Pleistocene,-20.7,4.3
HC85219,Mammut americanum,Mammut (n = 7),,,Pleistocene,-20.8,4.3
P23 33234 ,Microtus sp,Microtus - Ple (n = 1),,,Pleistocene,-22.2,5.59
P23 33233 ,Neotoma sp,Neotoma - Ple (n = 1),,,Pleistocene,-21.1,8.19
216772,O. beecheyi,Otospermophilus - Hol (n = 3),2375,2362,Holocene,-20.7,3.8
223493,O. beecheyi,Otospermophilus - Hol (n = 3),5166,5156,Holocene,-18.5,9.9
223528,O. beecheyi,Otospermophilus - Hol (n = 3),6155,7059,Holocene,-18.6,4.4
216761,O. beecheyi,Otospermophilus - Ple (n = 24),11105,13043,Pleistocene,-21.1,5.9
198298,O. beecheyi,Otospermophilus - Ple (n = 24),26310,30580,Pleistocene,-20.9,7
223521,O. beecheyi,Otospermophilus - Ple (n = 24),26940,31085,Pleistocene,-20.3,6.4
223529,O. beecheyi,Otospermophilus - Ple (n = 24),28370,32515,Pleistocene,-19.3,9.4
198302,O. beecheyi,Otospermophilus - Ple (n = 24),30870,35226,Pleistocene,-20.2,6.7
216780,O. beecheyi,Otospermophilus - Ple (n = 24),30900,35269,Pleistocene,-21.4,4.5
216781,O. beecheyi,Otospermophilus - Ple (n = 24),30970,35351,Pleistocene,-21.5,6.6
216779,O. beecheyi,Otospermophilus - Ple (n = 24),31000,35386,Pleistocene,-20.7,5.3
216773,O. beecheyi,Otospermophilus - Ple (n = 24),31340,35727,Pleistocene,-20.4,6.3
198207,O. beecheyi,Otospermophilus - Ple (n = 24),31830,36182,Pleistocene,-20.9,8.5
198201,O. beecheyi,Otospermophilus - Ple (n = 24),32500,36891,Pleistocene,-20.4,7.6
223509,O. beecheyi,Otospermophilus - Ple (n = 24),32660,37045,Pleistocene,-21.2,6.2
198295,O. beecheyi,Otospermophilus - Ple (n = 24),33070,37738,Pleistocene,-20.8,8.8
198203,O. beecheyi,Otospermophilus - Ple (n = 24),33100,37879,Pleistocene,-21,4
223498,O. beecheyi,Otospermophilus - Ple (n = 24),34800,39991,Pleistocene,-21.2,8.7
223500,O. beecheyi,Otospermophilus - Ple (n = 24),35230,40378,Pleistocene,-21,3.7
223501,O. beecheyi,Otospermophilus - Ple (n = 24),35270,40416,Pleistocene,-21.2,3.9
198202,O. beecheyi,Otospermophilus - Ple (n = 24),35900,40984,Pleistocene,-21.4,4.4
198204,O. beecheyi,Otospermophilus - Ple (n = 24),36160,41138,Pleistocene,-21.1,3.8
198205,O. beecheyi,Otospermophilus - Ple (n = 24),36580,41504,Pleistocene,-20.7,7
223496,O. beecheyi,Otospermophilus - Ple (n = 24),40640,43759,Pleistocene,-20.9,6.2
216762,O. beecheyi,Otospermophilus - Ple (n = 24),43700,46660,Pleistocene,-21.2,4.5
198296,O. beecheyi,Otospermophilus - Ple (n = 24),47400,50622,Pleistocene,-19.3,3.2
223504,O. beecheyi,Otospermophilus - Ple (n = 24),47400,50606,Pleistocene,-20.1,6.8
1713–L10,Paramylodon harlani,Paramylodon (n = 14),,,Pleistocene,-20.7,7.3
none,Paramylodon harlani,Paramylodon (n = 14),,,Pleistocene,-20.4,6.4
none,Paramylodon harlani,Paramylodon (n = 14),,,Pleistocene,-21.2,6.7
1713–L29,Paramylodon harlani,Paramylodon (n = 14),,,Pleistocene,-20.7,7.2
1713–R25,Paramylodon harlani,Paramylodon (n = 14),,,Pleistocene,-20,10.1
1713–L25,Paramylodon harlani,Paramylodon (n = 14),,,Pleistocene,-21.4,8.6
1713–R26,Paramylodon harlani,Paramylodon (n = 14),,,Pleistocene,-21.5,9.5
none,Paramylodon harlani,Paramylodon (n = 14),,,Pleistocene,-21.3,8.5
HC13872,Paramylodon harlani,Paramylodon (n = 14),,,Pleistocene,-21.5,8.2
HC38414,Paramylodon harlani,Paramylodon (n = 14),,,Pleistocene,-21.4,6.7
P23 14325,Paramylodon harlani,Paramylodon (n = 14),,,Pleistocene,-20.8,10.5
P23-5072,Paramylodon harlani,Paramylodon (n = 14),,,Pleistocene,-20.2,9.6
P23-2254,Paramylodon harlani,Paramylodon (n = 14),,,Pleistocene,-20.2,9.1
P23-10571,Paramylodon harlani,Paramylodon (n = 14),,,Pleistocene,-20.5,8.9
223494,Sylvilagus sp,Sylvilagus - Hol (n = 2),2650,2759,Holocene,-18.8,6.2
216760,S. audubonii,Sylvilagus - Hol (n = 2),5925,6744,Holocene,-20.8,3.6
216766,S. audubonii,Sylvilagus - Ple (n = 40),13990,17023,Pleistocene,-22,7.6
216767,S. bachmani,Sylvilagus - Ple (n = 40),14390,17530,Pleistocene,-21.9,4.9
223513,Sylvilagus sp,Sylvilagus - Ple (n = 40),25830,30098,Pleistocene,-21.3,7.2
223516,Sylvilagus sp,Sylvilagus - Ple (n = 40),26780,31014,Pleistocene,-20.9,7.9
223524,Sylvilagus sp,Sylvilagus - Ple (n = 40),28090,32069,Pleistocene,-20.9,7.2
217078,S. bachmani,Sylvilagus - Ple (n = 40),28500,32671,Pleistocene,-22.3,8.2
216765,S. audubonii,Sylvilagus - Ple (n = 40),28600,32838,Pleistocene,-21.3,8.4
216771,S. audubonii,Sylvilagus - Ple (n = 40),30320,34760,Pleistocene,-22.5,6.9
223526,Sylvilagus sp,Sylvilagus - Ple (n = 40),30540,34931,Pleistocene,-21.2,8.1
223507,Sylvilagus sp,Sylvilagus - Ple (n = 40),31230,35637,Pleistocene,-22.2,6.4
223525,Sylvilagus sp,Sylvilagus - Ple (n = 40),31460,35820,Pleistocene,-21.1,8.6
223508,S. audubonii,Sylvilagus - Ple (n = 40),31980,36340,Pleistocene,-21.1,9.4
223505,S. audubonii,Sylvilagus - Ple (n = 40),33260,38040,Pleistocene,-21.9,7.3
223499,Sylvilagus sp,Sylvilagus - Ple (n = 40),33590,38463,Pleistocene,-21.5,4.2
191099,S. audubonii,Sylvilagus - Ple (n = 40),33830,38726,Pleistocene,-21.1,9.1
191097,S. bachmani,Sylvilagus - Ple (n = 40),35150,40310,Pleistocene,-22.4,6.7
191102,S. audubonii,Sylvilagus - Ple (n = 40),35420,40549,Pleistocene,-21.3,7.3
191096,S. bachmani,Sylvilagus - Ple (n = 40),35440,40567,Pleistocene,-22.5,4.5
216770,S. bachmani,Sylvilagus - Ple (n = 40),35740,40839,Pleistocene,-22.1,6.9
191095,S. audubonii,Sylvilagus - Ple (n = 40),35750,40844,Pleistocene,-21.3,8.4
191100,S. audubonii,Sylvilagus - Ple (n = 40),35780,40872,Pleistocene,-21.5,7.3
223527,Sylvilagus sp,Sylvilagus - Ple (n = 40),35870,40969,Pleistocene,-21.3,4.5
191098,S. audubonii,Sylvilagus - Ple (n = 40),36050,41105,Pleistocene,-21.4,7.4
223506,Sylvilagus sp,Sylvilagus - Ple (n = 40),36260,41301,Pleistocene,-21.2,8.2
216764,S. audubonii,Sylvilagus - Ple (n = 40),36350,41346,Pleistocene,-21,6.9
223517,Sylvilagus sp,Sylvilagus - Ple (n = 40),36870,41688,Pleistocene,-21.4,7.2
216763,S. audubonii,Sylvilagus - Ple (n = 40),36880,41667,Pleistocene,-21.4,7.6
223495,Sylvilagus sp,Sylvilagus - Ple (n = 40),38740,42588,Pleistocene,-21.5,5.6
223497,Sylvilagus sp,Sylvilagus - Ple (n = 40),39240,42842,Pleistocene,-22,7
198294,S. bachmani,Sylvilagus - Ple (n = 40),39700,43214,Pleistocene,-20.9,5.5
216768,S. audubonii,Sylvilagus - Ple (n = 40),41000,44074,Pleistocene,-21.8,7.8
216784,Sylvilagus sp,Sylvilagus - Ple (n = 40),41500,44489,Pleistocene,-21.7,5.6
216783,Leporidae,Sylvilagus - Ple (n = 40),42600,45531,Pleistocene,-21.6,4.9
216769,S. audubonii,Sylvilagus - Ple (n = 40),42900,45791,Pleistocene,-21.3,5.2
223502,Sylvilagus sp,Sylvilagus - Ple (n = 40),44000,46639,Pleistocene,-21.4,7.2
191101,S. audubonii,Sylvilagus - Ple (n = 40),46200,49500,Pleistocene,-20.5,8.1
217079,Sylvilagus sp,Sylvilagus - Ple (n = 40),46200,49556,Pleistocene,-21.4,6.6
223503,Sylvilagus sp,Sylvilagus - Ple (n = 40),46200,49221,Pleistocene,-21.4,5.7
223518,Sylvilagus sp,Sylvilagus - Ple (n = 40),49800,52335,Pleistocene,-21.7,6.9
216785,Sylvilagus sp,Sylvilagus - Ple (n = 40),50200,52105,Pleistocene,-22.1,5.3
P23 33232 ,Thomomys sp,Thomomys - Ple (n = 1),,,Pleistocene,-21.6,3.9
