"taxon_list","mean_bio_1","median_bio_1","var_bio_1","sd_bio_1","max_bio_1","min_bio_1","mean_bio_4","median_bio_4","var_bio_4","sd_bio_4","max_bio_4","min_bio_4","mean_bio_5","median_bio_5","var_bio_5","sd_bio_5","max_bio_5","min_bio_5","mean_bio_6","median_bio_6","var_bio_6","sd_bio_6","max_bio_6","min_bio_6","mean_bio_12","median_bio_12","var_bio_12","sd_bio_12","max_bio_12","min_bio_12","mean_bio_13","median_bio_13","var_bio_13","sd_bio_13","max_bio_13","min_bio_13","mean_bio_14","median_bio_14","var_bio_14","sd_bio_14","max_bio_14","min_bio_14","mean_bio_15","median_bio_15","var_bio_15","sd_bio_15","max_bio_15","min_bio_15","mean_ndvi","median_ndvi","var_ndvi","sd_ndvi","max_ndvi","min_ndvi","AdultBodyMass_g"
"D.agilis ",15.3323207391491,15.9477920532227,9.04794768050198,3.00798066491492,22.9103336334229,4.57833337783813,615.221240719302,646.138366699219,23250.2031380531,152.480172934231,887.343811035156,163.205001831055,32.8714031210367,32.6650009155273,18.7053850120544,4.32497225563984,43.0799980163574,21.3464279174805,1.17320264238887,0.537999987602234,10.3040474329575,3.20999181197671,8.85280895233154,-9.80900001525879,363.145758661888,367,28274.6629395254,168.150714953953,836,77,69.7813620071685,74,1084.03467613315,32.9246818683666,148,12,1.6989247311828,1,2.31833616298812,1.52260834195407,10,0,81.9860957885159,82.3781433105469,195.516436394275,13.9827192060155,108.915161132812,48.5689697265625,3133.44551282051,3337.08333333333,1983590.70548433,1408.4000516488,6123.75,887.916666666667,60.21
"M.californicus",13.6580158283479,14.4735412597656,13.5722697393126,3.6840561531161,24.0087909698486,-1.15091669559479,594.92675077258,625.089904785156,16188.0803061352,127.23238701736,970.361511230469,163.205001831055,31.345321173897,31.4330005645752,18.6607993079563,4.31981473074439,45.6580009460449,16.1450004577637,0.48400753971258,1.35000002384186,12.4334505526565,3.52610983275571,8.85280895233154,-13.7670001983643,667.7524905911,532,179997.534385403,424.261162947309,2039,58,122.325880008855,102,5606.74497445238,74.8782009295922,357,11,3.94753154748727,2,20.5855989762521,4.53713554748501,26,0,80.0160205385868,83.1300048828125,151.328889546497,12.3015807742947,108.915161132812,30.3617324829102,4588.68397887324,4627.5,2791542.99490316,1670.79112844878,8217.33333333333,748.916666666667,57.42
"N.macrotis",14.3985546244097,15.4376668930054,18.5860435522764,4.31115339001948,23.4015827178955,-1.0165833234787,574.768455481238,618.7216796875,19004.8308096623,137.858009595606,844.071350097656,163.205001831055,31.355735383204,31.628999710083,22.9126069354886,4.78671149490844,43.1370010375977,16.4650001525879,1.03335387455503,1.7849999666214,19.3515466330136,4.3990392852319,8.85280895233154,-13.8090000152588,451.413917758699,388,63700.3918857744,252.389365635271,1392,69,84.3014008133755,76,2108.03434252146,45.9133351274057,253,13,2.63759602349751,1,12.8948245980312,3.59093645140529,20,0,80.8449440002441,82.4945983886719,134.550281108617,11.5995810747034,108.915161132812,48.4749946594238,3606.91681494662,3666.875,2054256.72300206,1433.2678476133,7007.66666666667,764.583333333333,225.74
"O.torridus",16.8719600086497,17.478874206543,27.1376892206965,5.20938472573264,25.404748916626,-0.981416702270508,726.206042324735,752.476135253906,14100.1661313154,118.744120407351,970.361511230469,283.280303955078,35.8833026563305,36.3849983215332,17.6890291672603,4.2058327555028,45.6580009460449,16.8910007476807,0.228681732204035,1.44799995422363,28.6428663527396,5.35190305898188,12.4750003814697,-13.6700000762939,312.374225755755,271,34316.7698903606,185.247860690375,1125,48,61.0286585929555,40,2626.74492565053,51.2517797315423,278,9,5.12304705556069,4,23.4010007737656,4.83745809013015,34,0,60.5373226907058,54.5118064880371,820.815198935181,28.6498725814825,125.456718444824,11.2099981307983,2473.51266642012,2143.58333333333,1522847.68258655,1234.03714797673,6529.83333333333,640.5,21.68
"O.beecheyi",12.1396057675115,11.8434166908264,16.6071738044162,4.07519003292069,22.9103336334229,-1.15091669559479,594.853102348782,619.439025878906,15615.4595951096,124.961832553422,955.054077148438,163.205001831055,29.8245668872174,29.7242650985718,20.9396847052704,4.57599002460346,45.1110000610352,15.3800001144409,-0.646372643247675,0.523000001907349,16.7943696403716,4.09809341528126,8.85280895233154,-13.83899974823,801.88679245283,611,314105.478835551,560.451138669154,3084,67,141.556168359942,112,9141.55969848232,95.6115040070091,520,12,7.09579100145138,4,56.6402638901208,7.52597262087239,44,0,74.9606720435775,77.0281982421875,203.025098529936,14.2486876072829,108.915161132812,16.2743034362793,4755.34220993403,4679.66666666667,3480955.48271172,1865.73188928949,8387.83333333333,818.25,597.82
"R.megalotis",11.4990147809173,10.4557914733887,25.8619881870771,5.08546833507762,27.3306255340576,-2.71104168891907,819.537917466247,842.613464355469,69055.6445703632,262.784407015263,1324.65625,55.716911315918,31.0626941331447,30.9449996948242,13.8941183100078,3.72748149693702,45.6580009460449,14.2369995117188,-6.51511332993557,-7.82200002670288,53.2569047702227,7.29773285138766,17.80299949646,-21.7040004730225,514.860219165799,418,99446.0609811578,315.350695228594,4266,46,86.3629950021758,75,3372.90516980398,58.0767179668753,745,9,12.684556855195,10,121.864401367933,11.039221048966,94,0,57.9373423563515,58.307445526123,548.767402903318,23.4257850007917,124.741828918457,9.38222122192383,3195.19141147483,3001.29166666667,2084554.54532462,1443.79865124075,8372.16666666667,92.3333333333333,10.72
"S.ornatus",15.3699127086433,15.6995420455933,5.71817117895536,2.39126978380846,23.1822490692139,2.52533340454102,566.749412973765,601.195861816406,16925.1432677362,130.096668934051,846.435302734375,163.205001831055,32.21973590679,32.5509986877441,14.0042088211064,3.74221977188759,43.0799980163574,20.2660007476807,2.13789271494395,2.22200012207031,6.39576841841042,2.52898565009974,10.1619997024536,-9.84799957275391,474.792432432432,421,67376.8948958475,259.570597132741,1696,73,92.7120720720721,83,2699.21519307339,51.9539718700446,325,14,1.50486486486486,1,1.66751417603617,1.29132264598595,11,0,84.905676159558,86.3036956787109,109.546055946742,10.466425175137,137.883682250977,48.3397216796875,4072.4268177526,4173.45833333333,1676323.67282825,1294.72918899214,7388.75,1006.16666666667,5.31
"S.gracilis",12.351087093648,11.7628126144409,36.1937472977373,6.01612394301657,25.4341259002686,-4.66279172897339,715.121556619806,750.552795410156,29794.688972159,172.611381351749,1170.42907714844,163.205001831055,31.0809079114185,31.6159992218018,26.0245425218945,5.10142553820935,45.6580009460449,9.11900043487549,-3.99185014318214,-4.16149997711182,42.9518980663644,6.55376975994461,13.0310001373291,-21.7630004882812,482.876782370733,372,154506.033320104,393.072554778509,3347,46,81.6632399539104,63,4775.62241692631,69.1058783094919,543,9,12.4220257813625,10,120.145406147653,10.9610859930781,73,0,55.6508977777004,55.4512348175049,660.567682521499,25.7015112886674,138.263549804688,5.60951328277588,2971.27783177346,2548.375,2549989.14917064,1596.86854473705,8387.83333333333,-354.916666666667,-999
"T.bottae",14.6778913695873,15.036687374115,25.6818416757845,5.06772549333372,25.404748916626,-1.3115416765213,715.707475472686,749.288177490234,24279.6823645822,155.819390207324,1064.92260742188,163.205001831055,33.3964307584472,33.6650009155273,19.3363911672539,4.39731635969644,45.6580009460449,15.9820003509521,-1.87761488606395,-1.38800001144409,35.731164444969,5.97755505578736,12.4750003814697,-21.2089996337891,365.51530986432,309,71904.3337559709,268.149834525347,2134,46,67.0016960029336,55,2842.19843856282,53.3122728699764,378,9,6.62930876420975,6,32.0718413924439,5.66320063148428,48,0,61.7378761843093,62.4043655395508,637.355060324247,25.2458919494687,138.263549804688,9.68475341796875,2644.12874488987,2204.58333333333,2167042.80518013,1472.08790674339,8217.33333333333,157.416666666667,122.7
"S.latimanus",11.7762207671233,11.8839373588562,18.8789781867164,4.34499461296748,23.4015827178955,-1.0165833234787,620.315540640874,650.782501220703,15349.1154281038,123.891547040562,856.725891113281,163.205001831055,30.2301054114341,29.9160003662109,18.1827000577125,4.26411773497315,43.1079978942871,16.4650001525879,-1.70602372229604,-0.579999983310699,22.0227886296248,4.69284440713996,8.85280895233154,-13.8090000152588,652.270824784571,521.5,150884.238972149,388.438204830768,1991,65,116.371153057037,96,5296.42921898621,72.7765705360332,357,11,5.48153467377924,4,21.9230121322881,4.68220163302352,25,0,73.2987239929218,79.258731842041,344.847510766283,18.5700702951357,108.915161132812,17.3019695281982,4284.42042966612,4363.08333333333,2807458.57470851,1675.5472463373,8217.33333333333,742.75,62.46
"S.audubonii",13.6556583689233,14.2746248245239,32.673155627647,5.71604370414074,25.404748916626,-3.52429175376892,750.25029780561,789.857696533203,47377.7652263773,217.664340732186,1209.88232421875,107.079261779785,32.4272960882246,32.7089996337891,17.8251215402653,4.22198076029075,45.6580009460449,13.3459997177124,-3.94914161057109,-3.2684999704361,52.5328289629456,7.24795343272469,12.4750003814697,-21.7630004882812,401.203478127634,379,33521.0163423105,183.087455447692,2453,46,73.712805485329,69,1664.65883661015,40.8002308401576,469,9,9.65929288286218,8,58.5426856618957,7.65131921056073,61,0,62.8376467855536,63.0447444915771,588.437127288181,24.2577230441808,138.263549804688,5.60951328277588,2755.89665314143,2609.45833333333,1329879.99648105,1153.20423016959,7947.33333333333,275.083333333333,880.88
"S. bachmani",15.0673804172576,15.2028331756592,18.3957844025258,4.28903070664291,24.4109573364258,1.56749999523163,526.124535856347,527.126953125,15109.5897325531,122.921071149551,814.346435546875,163.205001831055,31.2343848604893,31.6389999389648,21.1451728848011,4.59838807461931,43.0799980163574,18.9090003967285,2.7106413779906,2.07200002670288,13.5676402063556,3.68342777944072,11.9969997406006,-8.9689998626709,722.148166583707,484,375393.150130641,612.693357341697,3084,54,132.146839223494,97,10492.0439839507,102.4306789197,520,10,5.08860129417621,1,61.2175052952058,7.82416163529395,43,0,81.5226989544821,81.4310531616211,228.373397040696,15.1120282239247,138.263549804688,48.4277801513672,4433.41124751161,4502.25,4952655.6159788,2225.45627141465,8387.83333333333,673.25,714.53
"P.californicus",15.3436288978338,15.6315412521362,9.46643299921738,3.07675689634677,23.4015827178955,1.66537499427795,552.75514538942,571.352478027344,17906.7746126784,133.81619712381,792.87060546875,163.205001831055,31.961885249451,32.0480003356934,17.9831584731367,4.24065542966376,43.1370010375977,19.9549999237061,2.14921002298344,2.32699990272522,9.49878460763329,3.08200983250107,8.85280895233154,-11.8669996261597,413.433761630483,377,41228.1659341151,203.047201246693,1125,63,79.0722197607443,74,1548.28423234885,39.3482430655912,198,10,1.55649091714665,1,3.03503874470913,1.74213625893876,17,0,82.7573812177977,85.3370590209961,128.305104921873,11.3271843333581,108.915161132812,54.6880035400391,3749.81319811875,3867.83333333333,1677811.06976219,1295.30346628201,7388.75,742.75,42.68
