OriginalTaxon,RevisedTaxon,TaxonGroup
Abies concolor,,Abies
Acer macrophyllum,,Acer
Acer negundo,,Acer
Acmispon rigidus,,Acmispon
Aconitum columbianum,,Aconitum
Actaea rubra,,Actaea
Adenostoma fasciculatum,,Adenostoma
Adenostoma sparsifolium,,Adenostoma
Agoseris glauca,,Agoseris
Allium atrorubens,,Allium
Allium campanulatum,,Allium
Allium fimbriatum,,Allium
Alnus rhombifolia,,Alnus
Alopecurus aequalis,,Alopecurus
Amaranthus blitoides,,Amaranthus
Amaranthus powellii,,Amaranthus
Ambrosia acanthicarpa,,Ambrosia-type
Ambrosia confertiflora,,Ambrosia-type
Ambrosia eriocentra,,Ambrosia-type
Ambrosia psilostachya,,Ambrosia-type
Angelica kingii,,Angelica
Angelica tomentosa,,Angelica
Aquilegia formosa,,Aquilegia
Arctostaphylos catalinae,,Arctostaphylos
Arctostaphylos glandulosa,,Arctostaphylos
Arctostaphylos glauca,,Arctostaphylos
Arctostaphylos pungens,,Arctostaphylos
Arctostaphylos viscida,,Arctostaphylos
Arctostaphyos glauca,Arctostaphylos glauca,Arctostaphylos
Aristolochia californica,,Aristolochia
Arnica sororia,,Arnica
Asclepias californica,,Asclepias
Asclepias eriocarpa,,Asclepias
Asteraceae,,Asteraceae
Astragalus accidens,,Astragalus
Atriplex argentea,,Atriplex
Atriplex lentiformis,,Atriplex
Barbarea orthoceras,,Barbarea
Berberis aquifolia,,Berberis
Berberis aquifolium,,Berberis
Berberis haematocarpa,,Berberis
Berula erecta,,Berula
Bloomeria crocea,,Bloomeria
bone,,remove
Bone,bone,remove
Brasenia schreberi,,Brasenia
Brassicaceae,,Brassicaceae
Brodiaea elegans,,Brodiaea
Calystegia subacaulis,,Calystegia
Caryophyllaceae,,Caryophyllaceae
Castela emoryi,,Castela
Ceanothus greggii,,Ceanothus
Ceanothus integerrimus,,Ceanothus
Chaenactis douglasii,,Chaenactis
charcoal,,remove
Charcoal,charcoal,remove
Chenopodium atrovirens,,Chenopodium
Cirsium scariosum,,Cirsium
Coleogyne ramosissima,,Coleogyne
Convolvulus simulans,,Convolvulus
Cornus nuttallii,,Cornus
Cornus sericea,,Cornus
Cupressaceae,,Cupressaceae
Cyperaceae,,Cyperaceae
Datura wrightii,,Datura
Deinandra fasciculata,,Deinandra
Dichondra occidentalis,,Dichondra
Eschscholzia californica,,Eschscholzia
Funastrum cynanchoides,,Funastrum
Galium andrewsii,,Galium
Galium hallii,,Galium
Galium trifidium,Galium trifidum,Galium
Galium trifidum,,Galium
Hesperocyparis macnabiana,,Hesperocyparis
Hesperocyparis macrocarpa,,Hesperocyparis
Heteromeles arbutifolia,,Heteromeles
Hippuris vulgaris,,Hippuris
Insect chitin,insect,remove
Insect wing,insect,remove
Iris macrosiphon,,Iris
Iris tenuissima,,Iris
Juniperus californica,,Juniperus
Juniperus californica (charcoal/ashpalt?),,Juniperus
Juniperus californicum,Juniperus californica,Juniperus
Juniperus communis,,Juniperus
Juniperus sp.,,Juniperus
Lamiaceae,,Lamiaceae
Lathyrus vestitus,,Lathyrus
Lonicera interrupta,,Lonicera
Lupinus albifrons,,Lupinus
Lupinus excubitus,,Lupinus
Madia elegans,,Madia
Madia exigua,,Madia
Malosma laurina,,Malosma
Maurandella antirrhinflora,,Maurandella
Mica,rock,remove
Nemophila maculata,,Nemophila
Nolina parryi,,Nolina
not bone,,remove
Papaver californicum,,Papaver
Perideridia bolanderi,,Perideridia
Persicaria lapathifolia,,Persicaria
Persicaria punctata,,Persicaria
Pinaceae,,Pinaceae
Pinus attenuata,,Pinus
Pinus contorta,,Pinus
Pinus jefferyi,,Pinus
Pinus Jefferyi,Pinus jefferyi,Pinus
Pinus muricata,,Pinus
Pinus radiata,,Pinus
Pinus sabiniana,,Pinus
Pinus sp.,,Pinus
Plantanus racemosa,Platanus racemosa,Plantanus
Platanus racemosa,,Platanus
Poaceae,,Poaceae
Polygonum sp.,,Polygonum
poop,scat,remove
Potamogeton alpinus,,Potamogeton
Potamogeton amplifolius,,Potamogeton
Potamogeton nodosus,,Potamogeton
Prunus andersonii,,Prunus
Purshia tridentata,,Purshia
Quercus agrifolia,,Quercus
Quercus chrysolepis,,Quercus
Quercus dumosa,,Quercus
Quercus garryana,,Quercus
Quercus lobata,,Quercus
Ranunculus sceleratus,,Ranunculus
Ranunculus sp.,,Ranunculus
Rhamnus californica,,Rhamnus
Rhamnus ilicifolia,,Rhamnus
Rhus aromatica,,Rhus
Rhus fragrans,,Rhus
Rhus integrifolia,,Rhus
Ribes divaricatum,,Ribes
rock,,remove
Rock,rock,remove
rocks,rock,remove
Rocks,rock,remove
Rosa californica,,Rosa
Rosa sp.,,Rosa
Rosa woodsii,,Rosa
Rosaceae,,Rosaceae
Rumex salicifolius,,Rumex
Salix lasiolepis,,Salix
Salvia apiana,,Salvia
Salvia columbariae,,Salvia
Salvia dorrii,,Salvia
Salvia sp.,,Salvia
Salvia spathacea,,Salvia
Sambucus nigra,,Sambucus
Sanicula tuberosa,,Sanicula
scat,,remove
Scat,scat,remove
Schoenoplectus californicus,,Schoenoplectus
Scirpus fluviatilis,,Scirpus
Sisyrinchium bellum,,Sisyrinchium
Solidago canadensis,,Solidago
Solidago canandensis,Solidago canadensis,Solidago
Sorbus californica,,Sorbus
Stachys albens,,Stachys
Tauschia parishii,,Tauschia
Thysanocarpus laciniatus,,Thysanocarpus
tooth,,remove
Tooth,tooth,remove
Trichostema lanceolatum,,Trichostema
Turtle scute,turtle,remove
Vicia hassei,,Vicia
Viola douglasii,,Viola
wood,,remove
Wood,wood,remove
Xanthium strumarium,,Xanthium